player_id,fa_year,war_fa1
72749,2016,1.16
75321,2016,1.24
72862,2016,0.07
74857,2016,2.43
71845,2016,2.16
77591,2016,-0.15
74167,2016,0.1
71118,2016,-0.11
76329,2017,0.6
77147,2017,0
73117,2017,1
77637,2017,5.45
77829,2017,0
76455,2017,5.1
73248,2018,1
99737,2018,0
73738,2018,0.73
99445,2018,0.68
75342,2019,-0.5
74454,2019,1.7
75258,2019,0.27
74359,2020,-0.09
76650,2020,0.84
73801,2020,0.44
73750,2020,-0.14
72523,2020,-0.02
79229,2021,-0.66
77211,2021,1.26
76430,2019,1.49
77446,2022,1.18
60768,2023,1.49
78148,2023,0.76
62363,2023,0.55
75867,2023,2.14
60263,2023,1.06
76118,2023,-0.26
77318,2023,0.55
61101,2024,3.94
63248,2024,0.28
65062,2024,1.21
65060,2024,-0.28
61643,2024,1.39
61365,2024,0.23
75421,2024,-0.02
79764,2024,0.64
78352,2024,1.75
62754,2025,-0.24
63950,2025,0.73
65320,2025,1.73
65056,2025,-0.19
73211,2025,3.13
63543,2025,-0.22
62528,2025,1.61
63959,2025,-0.87
